,site_name,site_id,site_type,region,strand,transcript_name,transcript_id
1369,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 106 bases upstream of putPp4,TU122,DNA-Binding-Sites,"(1079093, 1079115)",+,putP,TU122
1370,PhoP-Pasp51 DNA-binding-site 33 bases downstream of safAp,TU0-14545,DNA-Binding-Sites,"(1583988, 1584005)",-,safA-ydeO,TU0-14545
1371,Lrp DNA-binding-site (BS0-10222),javascript:void(0);,DNA-Binding-Sites,,,,
1372,RclR DNA-binding-site regulating rclAp,TU0-12885,DNA-Binding-Sites,,-,rclABC,TU0-12885
1373,Nac DNA-binding-site regulating yhfL,TU0-13923,DNA-Binding-Sites,"(3499134, 3499151)",+,yhfL,TU0-13923
1374,H-NS DNA-binding-site (BS0-10654),javascript:void(0);,DNA-Binding-Sites,,,,
1375,Lrp DNA-binding-site (BS0-9745),javascript:void(0);,DNA-Binding-Sites,"(2798790, 2798805)",,,
1376,DNA-binding transcriptional dual regulator Fur DNA-binding-site 124 bases upstream of metHp1,TU00042,DNA-Binding-Sites,"(4223650, 4223669)",+,metH,TU00042
1377,PurR-hypoxanthine DNA-binding-site 892.5 bases downstream of hflDp,TU00054,DNA-Binding-Sites,"(1191787, 1191803)",-,hflD-purB,TU00054
1378,MetJ-SAM DNA-binding-site 2.5 bases upstream of metKp2,TU0-45188,DNA-Binding-Sites,"(3086567, 3086583)",+,metK; metK,TU0-45188; TU0-1783
1379,Fis DNA-binding-site 41 bases downstream of cspIp1,TU0-6981,DNA-Binding-Sites,"(1638765, 1638780)",-,cspI,TU0-6981
1380,NarL-Pasp59 DNA-binding-site 71 bases upstream of narGp,TU00044,DNA-Binding-Sites,"(1279733, 1279740)",+,narGHJI,TU00044
1381,CpxR-phosphorylated DNA-binding-site 73.5 bases upstream of csgDp3,TU0-45257,DNA-Binding-Sites,"(1103411, 1103425)",-,csgDEFG; csgDEFG,TU0-45257; TU00392
1382,Lrp DNA-binding-site (BS0-10208),javascript:void(0);,DNA-Binding-Sites,,,,
1383,StpA DNA-binding-site regulating ssrSp,TU0-45173,DNA-Binding-Sites,,+,ssrS-ygfA; ssrS; ssrS; ssrS-ygfA,TU0-45173; TU0-45172; TU0-36423; TU0-14689
1384,Nac DNA-binding-site regulating yfdV,TU0-13609,DNA-Binding-Sites,"(2490531, 2490548)",-,yfdV,TU0-13609
1385,Mlc DNA-binding-site 35 bases upstream of ptsGp2,TU0-1142,DNA-Binding-Sites,"(1157580, 1157603)",+,ptsG,TU0-1142
1386,Lrp DNA-binding-site (BS0-9729),javascript:void(0);,DNA-Binding-Sites,"(1175196, 1175211)",,,
1387,NarL-Pasp59 DNA-binding-site 160 bases upstream of narKp1,TU00045,DNA-Binding-Sites,"(1277769, 1277776)",+,narK,TU00045
1388,NarL-Pasp59 DNA-binding-site 65 bases upstream of nirBp,TU00046,DNA-Binding-Sites,"(3493919, 3493926)",+,nirBDC-cysG,TU00046
1389,Fis DNA-binding-site 98 bases upstream of acsp,TU0-45241,DNA-Binding-Sites,"(4287482, 4287497)",-,acs-yjcHG; acs-yjcHG,TU0-45241; TU0-3723
1390,Fis DNA-binding-site 16 bases upstream of glpTQp,TU00216,DNA-Binding-Sites,"(2352460, 2352475)",-,glpTQ; glpABC,TU00216; TU00030
1391,Fis DNA-binding-site 74 bases upstream of pheUp,TU00520,DNA-Binding-Sites,"(4362694, 4362709)",-,pheU,TU00520
1392,DNA-binding transcriptional dual regulator Fur DNA-binding-site 79 bases upstream of fhuFp1,TU0-7701,DNA-Binding-Sites,"(4605764, 4605783)",-,fhuF,TU0-7701
1393,Lrp DNA-binding-site (BS0-10192),javascript:void(0);,DNA-Binding-Sites,,,,
1394,RbsR DNA-binding-site 20.5 bases upstream of purHp,TU00056,DNA-Binding-Sites,"(4207638, 4207658)",-,purHD,TU00056
1395,OmpR-P DNA-binding-site (BS0-10628),javascript:void(0);,DNA-Binding-Sites,"(2905470, 2905490)",,,
1396,Nac DNA-binding-site (BS0-8878),javascript:void(0);,DNA-Binding-Sites,"(949968, 949985)",,,
1397,Fnr DNA-binding-site (BS0-9710),javascript:void(0);,DNA-Binding-Sites,"(1667333, 1667348)",,,
1398,AgaR DNA-binding-site 19.5 bases upstream of agaRp,TU0-6582,DNA-Binding-Sites,"(3278713, 3278733)",-,agaR,TU0-6582
1399,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 195.5 bases upstream of malKp,TU00123,DNA-Binding-Sites,"(4246530, 4246552)",+,malK-lamB-malM; malEFGH,TU00123; TU00038
1400,Fis DNA-binding-site 71 bases upstream of rrsHp,TU0-45269,DNA-Binding-Sites,"(223407, 223422)",+,rrsH-ileV-alaV-rrlH-rrfH; rrsH-ileV-alaV-rrlH-rrfH,TU0-45269; TU0-1189
1401,DNA-binding transcriptional dual regulator Fur DNA-binding-site 16 bases downstream of entCp,TU00166,DNA-Binding-Sites,"(624837, 624856)",+,entCEBA-ybdB,TU00166
1402,NagC DNA-binding-site 58 bases downstream of glmUp2,TU00488,DNA-Binding-Sites,"(3915258, 3915281)",-,glmUS; glmUS,TU00488; TU00280
1403,MarA DNA-binding-site 40.5 bases upstream of ybjCp,TU0-2101,DNA-Binding-Sites,"(890842, 890862)",+,ybjC-nfsA-rimK-ybjN,TU0-2101
1404,Lrp DNA-binding-site (BS0-10172),javascript:void(0);,DNA-Binding-Sites,,,,
1405,DnaA-ATP DNA-binding-site 73 bases upstream of dnaAp2,TU593,DNA-Binding-Sites,"(3883951, 3883960)",-,dnaAN-recF,TU593
1406,YeiE DNA-binding-site (BS0-10607),javascript:void(0);,DNA-Binding-Sites,,,,
1407,Nac DNA-binding-site regulating wecH,TU0-8590,DNA-Binding-Sites,"(3725795, 3725812)",+,wecH,TU0-8590
1408,Fnr DNA-binding-site (BS0-9694),javascript:void(0);,DNA-Binding-Sites,"(4133538, 4133553)",,,
1409,PhoP-Pasp51 DNA-binding-site 4 bases upstream of slyBp2,TU0-7803,DNA-Binding-Sites,"(1719736, 1719753)",+,slyB; slyB,TU0-7803; TU0-7802
1410,GlpR DNA-binding-site 0.5 bases upstream of glpDp,TU00031,DNA-Binding-Sites,"(3561961, 3561981)",+,glpD,TU00031
1411,DNA-binding transcriptional dual regulator Fur DNA-binding-site 61 bases upstream of nrdHp,TU0-1022,DNA-Binding-Sites,"(2800586, 2800605)",+,nrdHIEF; ygaC,TU0-1022; TU0-3403
1412,NarL-Pasp59 DNA-binding-site 41 bases upstream of ytfEp,TU-8441,DNA-Binding-Sites,"(4432047, 4432054)",-,ytfE,TU-8441
1413,SoxS DNA-binding-site 51.5 bases upstream of zwfp,TU00209,DNA-Binding-Sites,"(1936418, 1936438)",-,zwf,TU00209
1414,DNA-binding transcriptional activator Dan DNA-binding-site 74 bases upstream of ttdAp,TU00368,DNA-Binding-Sites,"(3206347, 3206354)",+,ttdABT,TU00368
1415,PrpR-2-methylcitrate DNA-binding-site 113.5 bases upstream of prpBp,TU0-3602,DNA-Binding-Sites,"(348521, 348545)",+,prpBCDE; prpR,TU0-3602; TU0-7221
1416,Lrp DNA-binding-site (BS0-10156),javascript:void(0);,DNA-Binding-Sites,,,,
1417,PhoB-Pasp53 DNA-binding-site regulating hiuHp,TU0-13468,DNA-Binding-Sites,,+,hiuH-msrPQ,TU0-13468
1418,TorR-Pasp DNA-binding-site (BS0-10591),javascript:void(0);,DNA-Binding-Sites,,,,
1419,Nac DNA-binding-site regulating nudG,TU0-8814,DNA-Binding-Sites,"(1841515, 1841532)",+,nudG,TU0-8814
1420,Fnr DNA-binding-site (BS0-9678),javascript:void(0);,DNA-Binding-Sites,"(121923, 121938)",,,
1421,EvgA-Pasp DNA-binding-site 73.5 bases upstream of emrKp,TU0-3101,DNA-Binding-Sites,"(2483513, 2483531)",-,emrKY; evgAS; evgAS,TU0-3101; TU0-7561; TU0-7541
1422,DNA-binding transcriptional dual regulator Fur DNA-binding-site 3 bases upstream of fhuAp,TU00020,DNA-Binding-Sites,"(167430, 167449)",+,fhuACDB,TU00020
1423,Fis DNA-binding-site 121 bases upstream of patAp2,TU0-45258,DNA-Binding-Sites,"(3219330, 3219345)",+,patA; patA,TU0-45258; TU0-3341
1424,GalR-galactose DNA-binding-site 8.5 bases downstream of galRp,TU0-881,DNA-Binding-Sites,"(2976569, 2976585)",+,galR,TU0-881
1425,MalI DNA-binding-site 10.5 bases downstream of malIp,TU00187,DNA-Binding-Sites,"(1699210, 1699228)",-,malI,TU00187
1426,OxyR DNA-binding-site 50 bases upstream of ybjCp,TU0-2101,DNA-Binding-Sites,"(890834, 890851)",+,ybjC-nfsA-rimK-ybjN; grxA,TU0-2101; TU721
1427,ArcA-Pasp54 DNA-binding-site regulating ubiCp,TU00369,DNA-Binding-Sites,,+,ubiCA,TU00369
1428,Nac DNA-binding-site (BS0-10046),javascript:void(0);,DNA-Binding-Sites,"(1425042, 1425059)",,,
1429,RcdA DNA-binding-site regulating ybjJI (BS0-8301),TU0-13069,DNA-Binding-Sites,"(887393, 887403)",,ybjJI; ybjK,TU0-13069; TU0-8671
1430,SutR DNA-binding-site (BS0-10572),javascript:void(0);,DNA-Binding-Sites,,,,
1431,Nac DNA-binding-site regulating dld,TU0-8787,DNA-Binding-Sites,"(2221976, 2221993)",+,dld,TU0-8787
1432,GlaR DNA-binding-site (BS0-9662),javascript:void(0);,DNA-Binding-Sites,"(2456007, 2456022)",,,
1433,DNA-binding transcriptional dual regulator Fur DNA-binding-site 35 bases upstream of cirAp1,TU00015,DNA-Binding-Sites,"(2246955, 2246974)",-,cirA; cirA,TU00015; TU00014
1434,IHF DNA-binding-site 88 bases upstream of nirBp,TU00046,DNA-Binding-Sites,"(3493893, 3493906)",+,nirBDC-cysG,TU00046
1435,RstA-Pasp52 DNA-binding-site 50.5 bases upstream of csgDp3,TU0-45257,DNA-Binding-Sites,"(1103388, 1103402)",-,csgDEFG; csgDEFG; csgDEFG; csgDEFG,TU0-45257; TU0-45201; TU00392; TU0-14429
1436,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 12.5 bases downstream of ppiAp4,TU00466,DNA-Binding-Sites,"(3492427, 3492449)",-,ppiA; ppiA; ppiA,TU00466; TU00465; TU00464
1437,H-NS DNA-binding-site 101.5 bases upstream of ftnAp,TU0-13449,DNA-Binding-Sites,"(1988571, 1988591)",+,ftnA,TU0-13449
1438,H-NS DNA-binding-site 47 bases upstream of galEp,TU0-45179,DNA-Binding-Sites,"(792121, 792136)",-,galETKM; galE; galET; galETK; galETK; galET; galE; galETKM,TU0-45179; TU0-45178; TU0-45177; TU0-45176; TU0-42583; TU0-42581; TU0-42578; TU00025
1439,Nac DNA-binding-site (BS0-10030),javascript:void(0);,DNA-Binding-Sites,"(3949715, 3949732)",,,
1440,BasR-Pasp51 DNA-binding-site 394.5 bases upstream of tomBp,TU0-12943,DNA-Binding-Sites,"(481179, 481199)",-,tomB-hha,TU0-12943
1441,YgbI DNA-binding-site regulating ygbJK,TU0-13721,DNA-Binding-Sites,"(2861282, 2861313)",+,ygbJK,TU0-13721
1442,SlyA DNA-binding-site regulating rsdp2,TU787,DNA-Binding-Sites,,-,rsd,TU787
1443,GlaR DNA-binding-site (BS0-9646),javascript:void(0);,DNA-Binding-Sites,"(1290038, 1290053)",,,
1444,ArgR-arg DNA-binding-site 22.5 bases upstream of argIp,TU00006,DNA-Binding-Sites,"(4478358, 4478376)",-,argI,TU00006
1445,CueR DNA-binding-site 25 bases upstream of cueOp,TU0-3124,DNA-Binding-Sites,"(137011, 137030)",+,cueO,TU0-3124
1446,RcnR DNA-binding-site 31.5 bases downstream of rcnRp,TU0-13513,DNA-Binding-Sites,"(2185865, 2185880)",-,rcnR; rcnAB,TU0-13513; TU0-13514
1447,GlpR DNA-binding-site 17.5 bases upstream of glpFp,TU00173,DNA-Binding-Sites,"(4118169, 4118189)",-,glpFKX,TU00173
1448,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 60.5 bases upstream of kbaZp,TU0-6581,DNA-Binding-Sites,"(3278795, 3278817)",+,kbaZ-agaVWA,TU0-6581
1449,Nac DNA-binding-site (BS0-10015),javascript:void(0);,DNA-Binding-Sites,"(2902347, 2902364)",,,
1450,IHF DNA-binding-site 169 bases upstream of glmYp1,TU0-13666,DNA-Binding-Sites,"(2691503, 2691516)",-,glmY,TU0-13666
1451,NtrC phosphorylated dimer DNA-binding-site 124 bases upstream of rutAp,TU0-3645,DNA-Binding-Sites,"(1074150, 1074150)",-,rutABCDEFG,TU0-3645
1452,YfeC DNA-binding-site (BS0-10525),javascript:void(0);,DNA-Binding-Sites,"(3811731, 3811765)",,,
1453,DnaA-ATP DNA-binding-site 16 bases upstream of uvrBp2,TU00070,DNA-Binding-Sites,"(813442, 813451)",+,uvrB,TU00070
1454,GlaR DNA-binding-site (BS0-9630),javascript:void(0);,DNA-Binding-Sites,"(1268129, 1268144)",,,
1455,Nac DNA-binding-site (BS0-9994),javascript:void(0);,DNA-Binding-Sites,"(1586511, 1586528)",,,
1456,Fis DNA-binding-site 138.5 bases upstream of nuoAp1,TU00448,DNA-Binding-Sites,"(2405466, 2405481)",-,nuoABCEFGHIJKLMN,TU00448
1457,ArsR DNA-binding-site 41.5 bases upstream of arsRp,TU00239,DNA-Binding-Sites,"(3648459, 3648483)",+,arsRBC,TU00239
1458,PurR-hypoxanthine DNA-binding-site 28.5 bases upstream of cvpAp1,TU00475,DNA-Binding-Sites,"(2430821, 2430837)",-,cvpA-purF-ubiX,TU00475
1459,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 100.5 bases upstream of malKp,TU00123,DNA-Binding-Sites,"(4246625, 4246647)",+,malK-lamB-malM; malEFGH,TU00123; TU00038
1460,Nac DNA-binding-site (BS0-10000),javascript:void(0);,DNA-Binding-Sites,"(1792075, 1792092)",,,
1461,CytR DNA-binding-site 59 bases upstream of cytRp,TU0-5961,DNA-Binding-Sites,"(4124557, 4124580)",-,cytR,TU0-5961
1462,ArgR-arg DNA-binding-site 67.5 bases downstream of argAp,TU0-8472,DNA-Binding-Sites,"(2949214, 2949232)",+,argA,TU0-8472
1463,ZraR-Pasp56 DNA-binding-site (BS0-10497),javascript:void(0);,DNA-Binding-Sites,,,,
1464,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 80 bases upstream of xylEp,TU0-14113,DNA-Binding-Sites,"(4242364, 4242379)",-,xylE,TU0-14113
1465,GlaR DNA-binding-site (BS0-9614),javascript:void(0);,DNA-Binding-Sites,"(4361767, 4361782)",,,
1466,Nac DNA-binding-site (BS0-9978),javascript:void(0);,DNA-Binding-Sites,"(252247, 252264)",,,
1467,DNA-binding transcriptional dual regulator Fur DNA-binding-site 2 bases downstream of fiup,TU0-2521,DNA-Binding-Sites,"(841638, 841657)",-,fiu,TU0-2521
1468,PdhR DNA-binding-site 21 bases upstream of fecAp,TU00151,DNA-Binding-Sites,"(4516740, 4516757)",-,fecABCDE,TU00151
1469,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 20.5 bases upstream of rpoHp3,TU00427,DNA-Binding-Sites,"(3600880, 3600902)",-,rpoH; rpoH; rpoH,TU00427; TU00083; TU00084
1470,PhoB-Pasp53 DNA-binding-site 52 bases upstream of ugpBp1,TU0-5981,DNA-Binding-Sites,"(3592421, 3592440)",-,ugpBAECQ; ugpBAECQ,TU0-5981; TU0-5982
1471,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 52.5 bases upstream of marRp,TU00190,DNA-Binding-Sites,"(1619030, 1619052)",+,marRAB,TU00190
1472,NsrR DNA-binding-site 67 bases downstream of bamEp,TU0-3423,DNA-Binding-Sites,"(2753547, 2753558)",+,bamE,TU0-3423
1473,LeuO DNA-binding-site 280 bases upstream of leuOp2,TU0-42477,DNA-Binding-Sites,"(84014, 84035)",+,leuO,TU0-42477
1474,PdhR DNA-binding-site (BS0-10472),javascript:void(0);,DNA-Binding-Sites,"(1787066, 1787083)",,,
1475,OxyR DNA-binding-site 26 bases upstream of flup,TU0-2701,DNA-Binding-Sites,"(2071283, 2071300)",+,isrC-flu,TU0-2701
1476,ArcA-Pasp54 DNA-binding-site (BS0-9533),javascript:void(0);,DNA-Binding-Sites,"(2498463, 2498478)",,,
1477,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 80 bases upstream of serAp2,TU0-2342,DNA-Binding-Sites,"(3058618, 3058640)",-,serA,TU0-2342
1478,Nac DNA-binding-site (BS0-9965),javascript:void(0);,DNA-Binding-Sites,"(1995736, 1995753)",,,
1479,AlaS-L-alanine DNA-binding transcriptional repressor DNA-binding-site 6.5 bases upstream of alaSp,TU0-6441,DNA-Binding-Sites,"(2822080, 2822114)",-,alaS,TU0-6441
1480,Lrp-leu DNA-binding-site 9 bases upstream of alaEp,TU0-8745,DNA-Binding-Sites,"(2799068, 2799083)",+,alaE; stpA,TU0-8745; TU00393
1481,MalT-maltotriose-ATP DNA-binding-site 220.5 bases upstream of malKp,TU00123,DNA-Binding-Sites,"(4246511, 4246521)",+,malK-lamB-malM; malEFGH,TU00123; TU00038
1482,Cbl DNA-binding-site 54.5 bases upstream of ssuEp,TU0-6629,DNA-Binding-Sites,"(997598, 997638)",-,ssuEADCB,TU0-6629
1483,NsrR DNA-binding-site 9 bases downstream of cddp,TU841,DNA-Binding-Sites,"(2231822, 2231833)",+,cdd,TU841
1484,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 52.5 bases upstream of mcaSp,TU0-8839,DNA-Binding-Sites,"(1405793, 1405815)",-,mcaS,TU0-8839
1485,Lrp DNA-binding-site (BS0-10425),javascript:void(0);,DNA-Binding-Sites,,,,
1486,GadX DNA-binding-site 184 bases upstream of gadBp2,TU0-45231,DNA-Binding-Sites,"(1572246, 1572266)",-,gadBC; gadBC,TU0-45231; TU369
1487,ArcA-Pasp54 DNA-binding-site (BS0-9517),javascript:void(0);,DNA-Binding-Sites,"(1388824, 1388839)",,,
1488,PhoB-Pasp53 DNA-binding-site 31 bases upstream of psiEp,TU0-2021,DNA-Binding-Sites,"(4240260, 4240279)",+,psiE,TU0-2021
1489,Nac DNA-binding-site (BS0-9949),javascript:void(0);,DNA-Binding-Sites,"(2153125, 2153142)",,,
1490,CpxR-phosphorylated DNA-binding-site 54.5 bases upstream of efeUp,TU0-13115,DNA-Binding-Sites,"(1081246, 1081260)",+,efeU,TU0-13115
1491,NarL-Pasp59 DNA-binding-site 221 bases downstream of focAp3,TU00379,DNA-Binding-Sites,"(954591, 954598)",-,focA-pflB; focA-pflB,TU00379; TU00377
1492,EvgA-Pasp DNA-binding-site regulating gadEp2,TU0-5682,DNA-Binding-Sites,,+,gadEF-mdtEF,TU0-5682
1493,FlhDC DNA-binding-site 54.5 bases upstream of yecRp,TU-8399,DNA-Binding-Sites,"(1988124, 1988168)",+,yecR,TU-8399
1494,DNA-binding transcriptional activator Dan DNA-binding-site 59 bases upstream of ttdAp,TU00368,DNA-Binding-Sites,"(3206362, 3206369)",+,ttdABT,TU00368
1495,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 92.5 bases upstream of cddp,TU841,DNA-Binding-Sites,"(2231716, 2231738)",+,cdd,TU841
1496,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 11.5 bases downstream of citCp2,TU0-14750,DNA-Binding-Sites,"(652018, 652040)",-,citCDEFXG; dpiBA,TU0-14750; TU0-13000
1497,Fnr DNA-binding-site 39.5 bases upstream of moaAp1,TU00300,DNA-Binding-Sites,"(816781, 816795)",+,moaABCDE,TU00300
1498,PhoP-Pasp51 DNA-binding-site regulating queE,TU0-8339,DNA-Binding-Sites,,-,queE,TU0-8339
1499,ArcA-Pasp54 DNA-binding-site (BS0-9501),javascript:void(0);,DNA-Binding-Sites,"(1678079, 1678094)",,,
1500,TreR DNA-binding-site 81 bases upstream of treBp,TU00213,DNA-Binding-Sites,"(4466283, 4466300)",-,treBC,TU00213
1501,Nac DNA-binding-site (BS0-9933),javascript:void(0);,DNA-Binding-Sites,"(4472366, 4472383)",,,
1502,Fis DNA-binding-site 10 bases upstream of topAp1,TU0-2501,DNA-Binding-Sites,"(1330963, 1330978)",+,topA,TU0-2501
1503,DNA-binding-site (BS00543),javascript:void(0);,DNA-Binding-Sites,"(2246801, 2246823)",,,
1504,Fnr DNA-binding-site 0.5 bases upstream of ubiCp,TU00369,DNA-Binding-Sites,"(4252436, 4252450)",+,ubiCA,TU00369
1505,DpiA-Pasp DNA-binding-site regulating exuTp2,TU00150,DNA-Binding-Sites,,+,exuT,TU00150
1506,Fis DNA-binding-site 29.5 bases upstream of acnBp1,TU796,DNA-Binding-Sites,"(131482, 131497)",+,acnB,TU796
1507,ArgP DNA-binding-site 69.5 bases upstream of dnaAp1,TU00259,DNA-Binding-Sites,"(3884021, 3884041)",-,dnaAN-recF,TU00259
1508,Lrp DNA-binding-site (BS0-10394),javascript:void(0);,DNA-Binding-Sites,,,,
1509,MarA DNA-binding-site regulating yhbW,TU0-13879,DNA-Binding-Sites,"(3303372, 3303392)",+,yhbW,TU0-13879
1510,ArcA-Pasp54 DNA-binding-site (BS0-9485),javascript:void(0);,DNA-Binding-Sites,"(2313467, 2313482)",,,
1511,FabR DNA-binding-site 20.5 bases upstream of fabBp,TU0-1482,DNA-Binding-Sites,"(2441653, 2441671)",-,fabB,TU0-1482
1512,Nac DNA-binding-site (BS0-9917),javascript:void(0);,DNA-Binding-Sites,"(1153285, 1153302)",,,
1513,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 86 bases upstream of serCp1,TU0-5964,DNA-Binding-Sites,"(957498, 957520)",+,serC; serC-aroA,TU0-5964; TU00357
1514,SoxR DNA-binding-site 25.5 bases upstream of soxSp,TU00211,DNA-Binding-Sites,"(4277440, 4277458)",-,soxS; soxR,TU00211; TU00456
1515,NarL-Pasp59 DNA-binding-site 78 bases upstream of norVp,TU0-4441,DNA-Binding-Sites,"(2832358, 2832365)",+,norVW,TU0-4441
1516,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 80.5 bases upstream of hofMp,TU0-13927,DNA-Binding-Sites,"(3522998, 3523020)",-,hofMNOP,TU0-13927
1517,Mlc DNA-binding-site 4 bases downstream of mlcp,TU0-45193,DNA-Binding-Sites,"(1668577, 1668600)",-,mlc-ynfK; mlc-ynfK; mlc,TU0-45193; TU790; TU789
1518,BaeR-Pasp61 DNA-binding-site 36.5 bases upstream of acrDp2,TU0-14793,DNA-Binding-Sites,"(2587504, 2587524)",+,acrD,TU0-14793
1519,Lrp DNA-binding-site (BS0-10378),javascript:void(0);,DNA-Binding-Sites,,,,
1520,SlyA DNA-binding-site 19.5 bases upstream of paaAp,TU5,DNA-Binding-Sites,"(1453840, 1453852)",+,paaABCDEFGHIJK,TU5
1521,ArcA-Pasp54 DNA-binding-site (BS0-9469),javascript:void(0);,DNA-Binding-Sites,"(3707882, 3707897)",,,
1522,SoxS DNA-binding-site 61.5 bases upstream of fldAp,TU0-1282,DNA-Binding-Sites,"(711573, 711593)",-,fldA-uof-fur,TU0-1282
1523,Nac DNA-binding-site (BS0-9901),javascript:void(0);,DNA-Binding-Sites,"(3370532, 3370549)",,,
1524,HipAB DNA-binding-site 18.5 bases upstream of hipBp,TU00284,DNA-Binding-Sites,"(1592491, 1592511)",-,hipBA,TU00284
1525,NhaR-Na+ DNA-binding-site 44 bases upstream of nhaAp1,TU00200,DNA-Binding-Sites,"(17406, 17423)",+,nhaAR,TU00200
1526,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 91.5 bases upstream of idnDp,TU0-4682,DNA-Binding-Sites,"(4494516, 4494538)",-,idnDOTR; idnK,TU0-4682; TU0-4681
1527,PutA DNA-binding-site 81.5 bases upstream of putPp1,TU103,DNA-Binding-Sites,"(1079084, 1079090)",+,putP,TU103
1528,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 58.5 bases upstream of mtlAp,TU00193,DNA-Binding-Sites,"(3772119, 3772141)",+,mtlADR,TU00193
1529,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 96.5 bases upstream of hfqp3,TU0-14568,DNA-Binding-Sites,"(4400113, 4400135)",+,hfq-hflXKC,TU0-14568
1530,Lrp DNA-binding-site (BS0-10362),javascript:void(0);,DNA-Binding-Sites,,,,
1531,YhaJ DNA-binding-site regulating yhhW,TU0-13936,DNA-Binding-Sites,,-,yhhW,TU0-13936
1532,ArcA-Pasp54 DNA-binding-site (BS0-9453),javascript:void(0);,DNA-Binding-Sites,"(29340, 29355)",,,
1533,IHF DNA-binding-site 207 bases upstream of ihfBp2,TU0-45280,DNA-Binding-Sites,"(963536, 963549)",+,ihfB; ihfB,TU0-45280; TU00175
1534,Nac DNA-binding-site (BS0-9885),javascript:void(0);,DNA-Binding-Sites,"(189498, 189515)",,,
1535,Fnr DNA-binding-site 81.5 bases upstream of ompWp,TU0-8813,DNA-Binding-Sites,"(1313903, 1313917)",+,ompW,TU0-8813
1536,Lrp DNA-binding-site regulating livKp1,TU00184,DNA-Binding-Sites,,-,livKHMGF,TU00184
1537,GadE DNA-binding-site regulating gadXp,TU0-14433,DNA-Binding-Sites,,-,gadXW; gadX,TU0-14433; TU0-2261
1538,Cra DNA-binding-site 40.5 bases downstream of manXp,TU00196,DNA-Binding-Sites,"(1901965, 1901981)",+,manXYZ,TU00196
1539,Fis DNA-binding-site 102 bases upstream of deoCp2,TU00018,DNA-Binding-Sites,"(4617169, 4617184)",+,deoCABD,TU00018
1540,Fnr DNA-binding-site regulating gapC_1C_2,TU0-8359,DNA-Binding-Sites,,-,gapC_1C_2,TU0-8359
1541,Lrp DNA-binding-site (BS0-10346),javascript:void(0);,DNA-Binding-Sites,,,,
1542,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 191.5 bases upstream of csrCp,TU0-4822,DNA-Binding-Sites,"(4050837, 4050853)",+,csrC,TU0-4822
1543,ArgR-arg DNA-binding-site (BS0-9177),javascript:void(0);,DNA-Binding-Sites,"(1679490, 1679529)",,,
1544,KdpE-Pasp DNA-binding-site (BS0-10780),javascript:void(0);,DNA-Binding-Sites,,,,
1545,Nac DNA-binding-site (BS0-9869),javascript:void(0);,DNA-Binding-Sites,"(3792584, 3792601)",,,
1546,IscR DNA-binding-site 44 bases upstream of ydiUp,TU0-8482,DNA-Binding-Sites,"(1791286, 1791311)",-,ydiU,TU0-8482
1547,GcvA DNA-binding-site 43 bases upstream of gcvBp,TU0-6184,DNA-Binding-Sites,"(2942646, 2942661)",+,gcvB; gcvA,TU0-6184; TU00171
1548,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases upstream of gntPp,TU0-4961,DNA-Binding-Sites,"(4551365, 4551387)",-,gntP; uxuAB,TU0-4961; TU101
1549,GalR-galactose DNA-binding-site 243.5 bases upstream of galPp,TU0-7081,DNA-Binding-Sites,"(3088004, 3088020)",+,galP,TU0-7081
1550,SoxS DNA-binding-site 40 bases upstream of pqiAp3,TU0-45259,DNA-Binding-Sites,"(1011616, 1011636)",+,pqiABC; pqiABC,TU0-45259; TU561
1551,CsgD DNA-binding-site 91.5 bases upstream of nlpAp,TU0-8817,DNA-Binding-Sites,"(3840102, 3840116)",-,nlpA,TU0-8817
1552,Lrp DNA-binding-site (BS0-10330),javascript:void(0);,DNA-Binding-Sites,,,,
1553,H-NS DNA-binding-site 9.5 bases upstream of cspAp1,TU0-1581,DNA-Binding-Sites,"(3719875, 3719885)",+,cspA,TU0-1581
