,id,name,transcription-direction,product,region,synonym,regulation,component
833,ECOLI:EG10846,rhsA,+,Protein,"(3762183, 3766316)",,,TU0-13989
834,ECOLI:EG10847,rhsB,+,Protein,"(3619192, 3623427)",,,TU0-13948
835,ECOLI:EG10848,rhsC,+,Protein,"(729583, 733776)",,,TU0-13026
836,ECOLI:EG10849,rhsD,+,Protein,"(523261, 527541)",,REG0-14277; Transcription-Factor-Binding,TU0-12960
837,ECOLI:EG10850,rimI,+,Protein,"(4608185, 4608631)",,,TU0-14216
838,ECOLI:EG10851,rimJ,+,Protein,"(1125562, 1126146)",tcp,,TU0-8281
839,ECOLI:EG10852,rimK,+,Protein,"(891967, 892869)",nek,,TU0-2121; TU0-2101
840,ECOLI:EG10853,rimL,+,Protein,"(1498938, 1499477)",,,TU0-6423
841,ECOLI:EG10854,rlpA,-,Protein,"(664102, 665190)",,,TU0-13009
842,ECOLI:EG10855,lptE,-,Protein,"(671605, 672186)",rlpB,,TU0-13010
843,ECOLI:EG10856,rna,-,Protein,"(644197, 645003)",rnsA,,TU0-12997
844,ECOLI:EG10857,rnc,-,Protein,"(2703383, 2704063)",,,TU483; TU00332
845,ECOLI:EG10858,rnd,-,Protein,"(1886864, 1887991)",,,TU0-14354
846,ECOLI:EG10859,rne,-,Protein,"(1141182, 1144367)",smbB; ams; hmp1,,TU0-14622; TU0-14273; TU0-14272; TU-8407
847,ECOLI:EG10860,rnhA,-,Protein,"(235535, 236002)",cer; sin; dasF; herA; rnh; sdrA,,TU0-6685
848,ECOLI:EG10861,rnhB,+,Protein,"(204493, 205089)",,,TU0-8373
849,ECOLI:EG10862,rnpA,+,Protein,"(3884493, 3884852)",,,TU743; TU682; TU00340
850,ECOLI:EG10863,rph,-,Protein,"(3815863, 3816549)",,,TU0-14696; TU00334
851,ECOLI:EG10864,rplA,+,Protein,"(4178879, 4179583)",rpy,,TU0-6512
852,ECOLI:EG10865,rplB,-,Protein,"(3450543, 3451364)",,,TU00347
853,ECOLI:EG10866,rplC,-,Protein,"(3452297, 3452926)",,,TU00347
854,ECOLI:EG10867,rplD,-,Protein,"(3451681, 3452286)",eryA,,TU00347
855,ECOLI:EG10868,rplE,-,Protein,"(3446899, 3447438)",,,TU00337
856,ECOLI:EG10869,rplF,-,Protein,"(3445607, 3446140)",,REG0-15554; Transcription-Factor-Binding,TU00337
857,ECOLI:EG10870,rplI,+,Protein,"(4426108, 4426557)",,,TU00346
858,ECOLI:EG10871,rplJ,+,Protein,"(4179996, 4180493)",,,TU0-6512; TU00335
859,ECOLI:EG10872,rplK,+,Protein,"(4178447, 4178875)",relC,,TU0-6512
860,ECOLI:EG10873,rplL,+,Protein,"(4180560, 4180925)",,,TU0-8464; TU0-6512; TU00335
861,ECOLI:EG10874,rplM,-,Protein,"(3378223, 3378651)",,,TU00336
862,ECOLI:EG10875,rplN,-,Protein,"(3447778, 3448149)",,,TU00337
863,ECOLI:EG10876,rplO,-,Protein,"(3444105, 3444539)",,,TU00337
864,ECOLI:EG10877,rplP,-,Protein,"(3448759, 3449169)",,,TU00347
865,ECOLI:EG10878,rplQ,-,Protein,"(3439616, 3439999)",,REG0-11279; Protein-Mediated-Translation-Regulation,TU0-14658; TU00349
866,ECOLI:EG10879,rplR,-,Protein,"(3445244, 3445597)",,REG0-15556; Transcription-Factor-Binding; REG0-15555; Transcription-Factor-Binding,TU00337
867,ECOLI:EG10880,rplS,-,Protein,"(2744183, 2744530)",,,TU00351
868,ECOLI:EG10881,rplT,-,Protein,"(1799393, 1799749)",pdzA,,TU0-14257; TU0-3305; TU0-14255; TU0-8855; TU0-6657
869,ECOLI:EG10882,rplV,-,Protein,"(3449901, 3450233)",eryB,,TU00347
870,ECOLI:EG10883,rplW,-,Protein,"(3451382, 3451684)",,,TU00347
871,ECOLI:EG10884,rplX,-,Protein,"(3447453, 3447767)",,,TU00337
872,ECOLI:EG10885,rplY,+,Protein,"(2282517, 2282801)",,,TU0-13557
873,ECOLI:EG10886,rpmB,-,Protein,"(3811438, 3811674)",,REG0-15972; Transcription-Factor-Binding,TU0-5601; TU0-5543; TU0-5522; TU00339
874,ECOLI:EG10887,rpmC,-,Protein,"(3448568, 3448759)",,,TU00347
875,ECOLI:EG10888,rpmD,-,Protein,"(3444543, 3444722)",,,TU00337
876,ECOLI:EG10889,rpmE,+,Protein,"(4127013, 4127225)",,,TU0-45156; TU0-8506
877,ECOLI:EG10890,rpmF,+,Protein,"(1147367, 1147540)",,,TU0-1; TU602; TU601
878,ECOLI:EG10891,rpmG,-,Protein,"(3811250, 3811417)",,,TU0-5601; TU0-5543; TU0-5522; TU00339
879,ECOLI:EG10892,rpmH,+,Protein,"(3884336, 3884476)",rimA; ssaF,REG0-15973; Transcription-Factor-Binding; REG0-14638; Transcription-Factor-Binding,TU743; TU682; TU00340
880,ECOLI:EG10893,rpoA,-,Protein,"(3440040, 3441029)",pez; phs; sez,,TU0-14658; TU00349
881,ECOLI:EG10894,rpoB,+,Protein,"(4181245, 4185273)",sdgB; tabD; stv; stl; ftsR; groN; nitB; rif; ron,,TU0-6512; TU0-7002; TU00335
882,ECOLI:EG10895,rpoC,+,Protein,"(4185350, 4189573)",tabB,,TU0-6512; TU0-7002; TU00335
883,ECOLI:EG10896,rpoD,+,Protein,"(3213047, 3214888)",alt,,TU0-14460; TU00438; TU00437; TU00436; TU00435; TU00434; TU00352
884,ECOLI:EG10897,rpoH,-,Protein,"(3599929, 3600783)",fam; hin; htpR,REG0-15868; Transcription-Factor-Binding,TU0-45218; TU221; TU00427; TU00426; TU00084; TU00083
885,ECOLI:EG10898,rpoN,+,Protein,"(3344717, 3346150)",glnF; ntrA,REG0-15557; Transcription-Factor-Binding,TU-8398; TU00487
886,ECOLI:EG10899,rpoZ,+,Protein,"(3822106, 3822381)",spoS,REG0-14639; Transcription-Factor-Binding,TU00344
887,ECOLI:EG10900,rpsA,+,Protein,"(961995, 963668)",ssyF,REG0-11232; Protein-Mediated-Translation-Regulation,TU565; TU564; TU361
888,ECOLI:EG10901,rpsB,+,Protein,"(189874, 190599)",,,TU00345
889,ECOLI:EG10902,rpsC,-,Protein,"(3449182, 3449883)",,,TU00347
890,ECOLI:EG10903,rpsD,-,Protein,"(3441055, 3441675)",ramA; sud(2); sud2,REG0-11281; Protein-Mediated-Translation-Regulation,TU0-14658; TU00349
891,ECOLI:EG10904,rpsE,-,Protein,"(3444726, 3445229)",spc; eps; spcA,,TU00337
892,ECOLI:EG10905,rpsF,+,Protein,"(4425118, 4425513)",sdgH,REG0-14279; Transcription-Factor-Binding,TU00346
893,ECOLI:EG10906,rpsG,-,Protein,"(3473542, 3474081)",,,TU00348
894,ECOLI:EG10907,rpsH,-,Protein,"(3446153, 3446545)",,REG0-15558; Transcription-Factor-Binding,TU00337
895,ECOLI:EG10908,rpsI,-,Protein,"(3377815, 3378207)",,,TU0-42202; TU00336
896,ECOLI:EG10909,rpsJ,-,Protein,"(3452959, 3453270)",nusE,,TU00347
897,ECOLI:EG10910,rpsK,-,Protein,"(3441709, 3442098)",,REG0-11280; Protein-Mediated-Translation-Regulation,TU0-14658; TU00349
898,ECOLI:EG10911,rpsL,-,Protein,"(3474178, 3474552)",asuB; strA,,TU00348
899,ECOLI:EG10912,rpsM,-,Protein,"(3442115, 3442471)",,REG0-11275; Protein-Mediated-Translation-Regulation,TU0-14658; TU00349
900,ECOLI:EG10913,rpsN,-,Protein,"(3446579, 3446884)",,,TU00337
901,ECOLI:EG10914,rpsO,-,Protein,"(3311415, 3311684)",secC,,TU0-8474; TU0-6660; TU0-6223; TU341
902,ECOLI:EG10915,rpsP,-,Protein,"(2745937, 2746185)",,,TU00351
903,ECOLI:EG10916,rpsQ,-,Protein,"(3448314, 3448568)",neaA,,TU00347
904,ECOLI:EG10917,rpsR,+,Protein,"(4425839, 4426066)",,,TU00346
905,ECOLI:EG10918,rpsS,-,Protein,"(3450248, 3450526)",,,TU00347
906,ECOLI:EG10919,rpsT,-,Protein,"(20815, 21078)",supS; sup(s20); supS20,,TU0-7844; TU0-7842
907,ECOLI:EG10920,rpsU,+,Protein,"(3210781, 3210996)",,REG0-15969; Transcription-Factor-Binding,TU00472; TU00435; TU00434; TU00352
908,ECOLI:EG10921,ftnA,+,Protein,"(1988716, 1989213)",ftn; gen-165; rsgA,,TU0-13449
909,ECOLI:EG10922,coaA,-,Protein,"(4174076, 4175026)",panK; rts; ts-9,,TU0-14228
910,ECOLI:EG10925,ruvC,-,Protein,"(1946855, 1947376)",,,TU0-8243; TU0-8242; TU0-8241
911,ECOLI:EG10926,sbcB,+,Protein,"(2082756, 2084183)",exoI; rmuA; cpeA; xonA,,TU0-6513
912,ECOLI:EG10927,sbcC,-,Protein,"(412607, 415753)",,,TU0-12917
913,ECOLI:EG10928,sbmA,+,Protein,"(396639, 397859)",,,TU0-3426
914,ECOLI:EG10929,sbp,+,Protein,"(4108834, 4109823)",,,TU0-14080
915,ECOLI:EG10930,sdaA,+,Protein,"(1896932, 1898296)",,REG0-14644; Transcription-Factor-Binding; REG0-14394; Transcription-Factor-Binding,TU00223
916,ECOLI:EG10931,sdhA,+,Protein,"(755907, 757673)",dhsA,,TU0-6702; TU00524
917,ECOLI:EG10932,sdhB,+,Protein,"(757689, 758405)",dhsB,,TU0-6702; TU00524
918,ECOLI:EG10933,sdhC,+,Protein,"(755177, 755566)",cybL; cybA; dhsC,REG0-16017; Transcription-Factor-Binding; REG0-14645; Transcription-Factor-Binding; REG0-11884; RNA-Mediated-Translation-Regulation; REG0-11883; RNA-Mediated-Translation-Regulation,TU00524
919,ECOLI:EG10934,sdhD,+,Protein,"(755560, 755907)",cybS; dhsD,,TU0-6702; TU00524
920,ECOLI:EG10935,sdiA,-,Protein,"(1996110, 1996832)",,REGECOLI-11234; Protein-Mediated-Translation-Regulation; REGECOLI-11233; Protein-Mediated-Translation-Regulation; REG0-11996; Protein-Mediated-Translation-Regulation,TU0-42626; TU0-42622; TU0-42467; TU0-42466; TU0-42465; TU0-41901; TU0-13452
921,ECOLI:EG10936,secA,+,Protein,"(108279, 110984)",azi; pea; prlD,,TU0-4343
922,ECOLI:EG10937,secB,-,Protein,"(3783661, 3784128)",,,TU0-42596; TU0-13995
923,ECOLI:EG10938,secD,+,Protein,"(427647, 429494)",,,TU869
924,ECOLI:EG10939,secE,+,Protein,"(4177358, 4177741)",mbrC; prlG,,TU00354
925,ECOLI:EG10940,secF,+,Protein,"(429505, 430476)",,,TU869
926,ECOLI:EG10941,selA,-,Protein,"(3759858, 3761249)",fdhA,,TU00355
927,ECOLI:EG10942,selB,-,Protein,"(3758017, 3759861)",fdhA,,TU00355
928,ECOLI:EG10943,selD,-,Protein,"(1846965, 1848008)",fdhB,,TU0-14798; TU0-14527; TU00356
929,ECOLI:EG10944,serA,-,Protein,"(3057178, 3058410)",,REG0-14396; Transcription-Factor-Binding,TU0-2342; TU00224
930,ECOLI:EG10945,serB,+,Protein,"(4624895, 4625863)",,REG0-14397; Transcription-Factor-Binding,TU0-14224; TU0-6514
931,ECOLI:EG10946,serC,+,Protein,"(957653, 958741)",pdxC; pdxF,REG0-15562; Transcription-Factor-Binding,TU0-42569; TU0-5964; TU00357
932,ECOLI:EG10947,serS,+,Protein,"(939428, 940720)",,REG0-15563; Transcription-Factor-Binding,TU0-13080
933,ECOLI:EG10948,maeA,-,Protein,"(1553972, 1555669)",sfcA,REG0-11862; RNA-Mediated-Translation-Regulation,TU0-13287
934,ECOLI:EG10949,sfsA,-,Protein,"(160782, 161486)",sfs; sfs1,,TU00358
935,ECOLI:EG10950,slt,+,Protein,"(4630733, 4632670)",sltY,,TU0-14226
936,ECOLI:EG10951,ytjB,-,Protein,"(4624145, 4624789)",smp,REG0-15655; Transcription-Factor-Binding,TU0-6630
937,ECOLI:EG10952,bamE,+,Protein,"(2753605, 2753946)",smpA; smqA,,TU0-3423
938,ECOLI:EG10953,sodA,+,Protein,"(4100810, 4101430)",,,TU00064
939,ECOLI:EG10954,sodB,+,Protein,"(1735378, 1735959)",,,TU0-1681
940,ECOLI:EG10955,prlF,+,Protein,"(3277002, 3277337)",sohA; prlFA,REG0-15535; Transcription-Factor-Binding,TU0-13872
941,ECOLI:EG10956,sohB,+,Protein,"(1329332, 1330381)",,,TU0-45253; TU0-962; TU0-961
942,ECOLI:EG10957,soxR,+,Protein,"(4277469, 4277933)",marC,,TU00456
943,ECOLI:EG10958,soxS,-,Protein,"(4277060, 4277383)",,REG0-15567; Transcription-Factor-Binding,TU00211
944,ECOLI:EG10959,speA,-,Protein,"(3083935, 3085911)",,,TU00204
945,ECOLI:EG10960,speB,-,Protein,"(3082877, 3083797)",,,TU0-6625; TU00204
946,ECOLI:EG10961,speC,-,Protein,"(3107020, 3109155)",,,TU00124
947,ECOLI:EG10962,speD,-,Protein,"(134788, 135582)",,,TU0-44215; TU00359
948,ECOLI:EG10963,speE,-,Protein,"(135598, 136464)",,,TU0-44217; TU00359
949,ECOLI:EG10964,speF,-,Protein,"(718262, 720460)",,,TU00360
950,ECOLI:EG10965,gmk,+,Protein,"(3821428, 3822051)",spoR,REG0-14515; Transcription-Factor-Binding,TU0-14004
951,ECOLI:EG10966,spoT,+,Protein,"(3822400, 3824508)",,,TU00344
952,ECOLI:EG10967,trmH,+,Protein,"(3824515, 3825204)",spoU,,TU00344
953,ECOLI:EG10968,sppA,+,Protein,"(1848837, 1850693)",,,TU0-13391
954,ECOLI:EG10969,srlE,+,Protein,"(2826392, 2827351)",sbl; gutA; gutE; srlA; srlA-2,,TU00133
955,ECOLI:EG10970,srlB,+,Protein,"(2827362, 2827733)",gutB,,TU00133
956,ECOLI:EG10971,srlD,+,Protein,"(2827737, 2828516)",gutD,,TU00133
957,ECOLI:EG10972,gutM,+,Protein,"(2828621, 2828980)",gut; srlM,,TU00133
958,ECOLI:EG10973,gutQ,+,Protein,"(2829813, 2830778)",srlQ,,TU00133
959,ECOLI:EG10974,srlR,+,Protein,"(2829047, 2829820)",gutR,REG0-14653; Transcription-Factor-Binding,TU0-7042; TU00133
960,ECOLI:EG10975,srmB,+,Protein,"(2712896, 2714230)",rbaB; rhlA,,TU0-8521
961,ECOLI:EG10976,ssb,+,Protein,"(4274125, 4274661)",exrB; lexC,,TU0-6564; TU0-6563; TU00065
962,ECOLI:EG10977,sspA,-,Protein,"(3376782, 3377420)",ssp; pog,REG0-15876; Transcription-Factor-Binding,TU00361
963,ECOLI:EG10978,sspB,-,Protein,"(3376279, 3376776)",,,TU00361
964,ECOLI:EG10979,sucA,+,Protein,"(758706, 761507)",lys+met,REG0-16163; RNA-Mediated-Translation-Regulation; REG0-14656; Transcription-Factor-Binding,TU0-42509; TU00524; TU00103
965,ECOLI:EG10980,sucB,+,Protein,"(761522, 762739)",,,TU0-42509; TU00524; TU00103
966,ECOLI:EG10981,sucC,+,Protein,"(763014, 764180)",,REG0-15933; RNA-Mediated-Translation-Regulation; REG0-11886; RNA-Mediated-Translation-Regulation,TU00524; TU00103
967,ECOLI:EG10982,sucD,+,Protein,"(764180, 765049)",,,TU00524; TU00103
968,ECOLI:EG10983,suhB,+,Protein,"(2663442, 2664245)",ssyA,,TU0-13658
969,ECOLI:EG10984,sulA,-,Protein,"(1020410, 1020919)",sfiA; suf,REG0-15571; Transcription-Factor-Binding,TU00066
970,ECOLI:EG10985,surA,-,Protein,"(53416, 54702)",,,TU0-4287; TU00362
971,ECOLI:EG10986,tag,+,Protein,"(3713092, 3713655)",tagA,,TU0-13978
972,ECOLI:EG10987,tap,-,Protein,"(1969383, 1970984)",,,TU0-1547
973,ECOLI:EG10988,tar,-,Protein,"(1971030, 1972691)",cheM,REG0-14284; Transcription-Factor-Binding,TU0-1547
974,ECOLI:EG10989,tdcA,-,Protein,"(3266127, 3267065)",,REG0-14658; Transcription-Factor-Binding,TU00125
975,ECOLI:EG10990,tdcB,-,Protein,"(3265039, 3266028)",tdc,,TU0-14551; TU00125
976,ECOLI:EG10991,tdcC,-,Protein,"(3263686, 3265017)",,,TU0-14551; TU00125
977,ECOLI:EG10992,tdcR,+,Protein,"(3267380, 3267598)",,,TU0-13870
978,ECOLI:EG10993,tdh,-,Protein,"(3790320, 3791345)",,,TU00225
979,ECOLI:EG10994,tdk,+,Protein,"(1293527, 1294144)",,,TU0-8527
980,ECOLI:EG10995,tesB,-,Protein,"(474301, 475161)",,,TU0-8528
981,ECOLI:EG10996,tgt,+,Protein,"(426137, 427264)",vacC(S.f.),,TU870
982,ECOLI:EG10997,mnmE,+,Protein,"(3886828, 3888192)",trmE; thdF,,TU0-14021
983,ECOLI:EG10998,thrA,+,Protein,"(337, 2799)",thrA2; Hs; thrA1; thrD,REG0-14354; Transcription-Factor-Binding; REG0-14105; Transcription-Factor-Binding,TU00178
984,ECOLI:EG10999,thrB,+,Protein,"(2801, 3733)",,,TU00178
985,ECOLI:EG11000,thrC,+,Protein,"(3734, 5020)",,,TU00178
986,ECOLI:EG11001,thrS,-,Protein,"(1800642, 1802570)",,REG0-14663; Transcription-Factor-Binding; REG0-12504; Protein-Mediated-Translation-Regulation,TU0-14257; TU00366
987,ECOLI:EG11002,thyA,-,Protein,"(2964361, 2965155)",,,TU0-42616; TU00295
988,ECOLI:EG11003,tig,+,Protein,"(455133, 456431)",,,TU0-14614; TU0-14252; TU0-12928
989,ECOLI:EG11004,ptrB,-,Protein,"(1926779, 1928839)",tlp,,TU0-13435
990,ECOLI:EG11005,tnaA,+,Protein,"(3888730, 3890145)",ind; tnaR,REG0-14664; Transcription-Factor-Binding; REG0-13482; Protein-Mediated-Translation-Regulation,TU0-45291; TU00085
991,ECOLI:EG11006,tnaB,+,Protein,"(3890236, 3891483)",tnaP; trpP,REG0-14665; Transcription-Factor-Binding,TU0-45291; TU00085
992,ECOLI:EG11007,tolA,+,Protein,"(776342, 777607)",cim; excC; lky; tol-2,,TU00367
993,ECOLI:EG11008,tolB,+,Protein,"(777740, 779032)",lky; lkyA; tol-3,REG0-16096; Transcription-Factor-Binding; REG0-14667; Transcription-Factor-Binding,TU21
994,ECOLI:EG11009,tolC,+,Protein,"(3178115, 3179596)",weeA; colE1-i; mtcB; mukA; refI; toc,REG0-14233; Transcription-Factor-Binding; REG0-13117; RNA-Mediated-Translation-Regulation,TU0-14704; TU0-14702; TU0-14701; TU0-13838
995,ECOLI:EG11010,tolQ,+,Protein,"(775153, 775845)",fii; tolP,,TU00367
996,ECOLI:EG11011,tolR,+,Protein,"(775849, 776277)",,,TU00367
997,ECOLI:EG11012,tonB,+,Protein,"(1311089, 1311808)",T1rec; exbA,,TU00167
998,ECOLI:EG11013,topA,+,Protein,"(1331048, 1333645)",supX,REG0-15573; Transcription-Factor-Binding,TU0-45223; TU0-2505; TU0-2504; TU0-2503; TU0-2502; TU0-2501
999,ECOLI:EG11014,topB,-,Protein,"(1844999, 1846960)",mutR,,TU0-14798; TU0-14527; TU00356
1000,ECOLI:EG11015,tpiA,-,Protein,"(4110740, 4111507)",tpi,,TU0-45203; TU0-14668; TU0-8061
1001,ECOLI:EG11016,tpr,-,Protein,"(1287087, 1287176)",,,TU0-14549; TU00511
1002,ECOLI:EG11017,treA,-,Protein,"(1245679, 1247376)",osmA; tre,REG0-15574; Transcription-Factor-Binding,TU00396
1003,ECOLI:EG11018,trg,+,Protein,"(1492470, 1494110)",,,TU0-14627
1004,ECOLI:EG11019,trkA,+,Protein,"(3436518, 3437894)",,,TU0-13908
1005,ECOLI:EG11020,trkG,+,Protein,"(1423782, 1425239)",,,TU0-13233
1006,ECOLI:EG11021,trkH,+,Protein,"(4033145, 4034596)",,,TU0-14056
1007,ECOLI:EG11022,trmA,-,Protein,"(4162170, 4163270)",rT; rumT,,TU00430
1008,ECOLI:EG11023,trmD,-,Protein,"(2744572, 2745339)",,,TU00351
1009,ECOLI:EG11024,trpA,-,Protein,"(1316416, 1317222)",try; tryp,,TU3; TU00067
1010,ECOLI:EG11025,trpB,-,Protein,"(1317222, 1318415)",,,TU3; TU00067
1011,ECOLI:EG11026,trpC,-,Protein,"(1318427, 1319788)",trpF; trpCF,,TU3; TU00067
1012,ECOLI:EG11027,trpD,-,Protein,"(1319789, 1321384)",trpGD,,TU00067
1013,ECOLI:EG11028,trpE,-,Protein,"(1321384, 1322946)",anth; tryD; tryp-4,,TU00067
1014,ECOLI:EG11029,trpR,+,Protein,"(4632760, 4633086)",rtrY,,TU00220
1015,ECOLI:EG11030,trpS,-,Protein,"(3512634, 3513638)",,,TU0-8862; TU877; TU876; TU875; TU874; TU873; TU872
1016,ECOLI:EG11031,trxA,+,Protein,"(3965761, 3966090)",dasC; fipA; tsnC,,TU0-44224; TU0-3103; TU0-3102
1017,ECOLI:EG11032,trxB,-,Protein,"(931085, 932050)",trxR,REG0-15575; Transcription-Factor-Binding; REG0-14670; Transcription-Factor-Binding,TU0-13078
1018,ECOLI:EG11033,tsf,+,Protein,"(190857, 191708)",,,TU00345
1019,ECOLI:EG11034,tsr,+,Protein,"(4591657, 4593312)",cheD,,TU0-7; TU0-1541
1020,ECOLI:EG11035,tsx,-,Protein,"(431129, 432013)",T6rec; nupA,,TU00450; TU00449
1021,ECOLI:EG11036,tufA,-,Protein,"(3470145, 3471329)",pulT; kirT,,TU0-36426; TU0-14519; TU0-5121; TU00348
1022,ECOLI:EG11037,tufB,+,Protein,"(4175944, 4177128)",pulT; kirT,,TU00504
1023,ECOLI:EG11038,tus,+,Protein,"(1684259, 1685188)",tau,,TU0-13346
1024,ECOLI:EG11039,tyrA,-,Protein,"(2738948, 2740069)",,,TU00008
1025,ECOLI:EG11040,tyrB,+,Protein,"(4267114, 4268307)",,,TU00087
1026,ECOLI:EG11041,tyrP,+,Protein,"(1989681, 1990892)",,REG0-15576; Transcription-Factor-Binding; REG0-14401; Transcription-Factor-Binding,TU0-6631; TU00088
1027,ECOLI:EG11042,tyrR,+,Protein,"(1386720, 1388261)",,REG0-15577; Transcription-Factor-Binding; REG0-14402; Transcription-Factor-Binding,TU0-14473; TU00068
1028,ECOLI:EG11043,tyrS,-,Protein,"(1715948, 1717222)",,,TU0-14629; TU0-8865; TU0-8864
1029,ECOLI:EG11044,ubiX,-,Protein,"(2428057, 2428626)",dedF,,TU0-14520; TU00475; TU00444
1030,ECOLI:EG11045,udp,+,Protein,"(4016431, 4017192)",,,TU00134
1031,ECOLI:EG11046,ugpA,-,Protein,"(3590024, 3590911)",psiB; psiC; ugp,,TU0-5982; TU0-5981
1032,ECOLI:EG11047,ugpB,-,Protein,"(3591009, 3592325)",psiB; psiC,,TU0-5982; TU0-5981
1033,ECOLI:EG11048,ugpC,-,Protein,"(3588110, 3589180)",,,TU0-5982; TU0-5981
1034,ECOLI:EG11049,ugpE,-,Protein,"(3589182, 3590027)",,,TU0-5982; TU0-5981
1035,ECOLI:EG11050,ugpQ,-,Protein,"(3587370, 3588113)",,,TU0-5982; TU0-5981
1036,ECOLI:EG11051,uhpA,-,Protein,"(3850136, 3850726)",,REG0-14672; Transcription-Factor-Binding,TU0-14764; TU00371
1037,ECOLI:EG11052,uhpB,-,Protein,"(3848634, 3850136)",,,TU0-44221; TU0-14764; TU00371
1038,ECOLI:EG11053,uhpC,-,Protein,"(3847305, 3848624)",,,TU0-14764; TU00371
1039,ECOLI:EG11054,uhpT,-,Protein,"(3845776, 3847167)",,,TU00130
1040,ECOLI:EG11055,uidA,-,Protein,"(1694260, 1696071)",gurA; gusA,,TU0-5081
1041,ECOLI:EG11056,umuC,+,Protein,"(1231186, 1232454)",uvm,,TU00180
1042,ECOLI:EG11057,umuD,+,Protein,"(1230767, 1231186)",,,TU00180
1043,ECOLI:EG11058,ung,+,Protein,"(2716754, 2717443)",,REG0-14355; Transcription-Factor-Binding,TU0-6515
1044,ECOLI:EG11059,usg,-,Protein,"(2435636, 2436649)",usg-1,,TU0-5183; TU0-5182
1045,ECOLI:EG11060,ushA,+,Protein,"(504914, 506566)",,,TU0-8534
1046,ECOLI:EG11061,uvrA,-,Protein,"(4271049, 4273871)",dar; dinE,,TU00069
1047,ECOLI:EG11062,uvrB,+,Protein,"(813526, 815547)",dar-1; dar-6,,TU0-14730; TU0-7044; TU00070
1048,ECOLI:EG11063,uvrC,-,Protein,"(1992874, 1994706)",,,TU0-6686; TU0-6559
1049,ECOLI:EG11064,uvrD,+,Protein,"(3997983, 4000145)",uvr502; srjC; uvrE; dar-2; dda; mutU; pdeB; rad; recL,,TU0-7043; TU00071
1050,ECOLI:EG11065,uxaB,-,Protein,"(1609229, 1610680)",,,TU0-36422; TU00372
1051,ECOLI:EG11066,uxuA,+,Protein,"(4551636, 4552820)",,,TU101
1052,ECOLI:EG11067,valS,-,Protein,"(4480982, 4483837)",val-act,,TU0-14474; TU0-6687; TU0-6405
1053,ECOLI:EG11068,vsr,-,Protein,"(2030448, 2030918)",,,TU00257
1054,ECOLI:EG11069,xerC,+,Protein,"(3996287, 3997183)",,,TU0-14042
1055,ECOLI:EG11070,dsbC,-,Protein,"(3038112, 3038822)",xprA,,TU0-45199; TU0-14489; TU-8392; TU0-4141
1056,ECOLI:EG11071,xerD,-,Protein,"(3038847, 3039743)",xprB,,TU0-45199; TU0-14489; TU0-13787
1057,ECOLI:EG11072,xseA,+,Protein,"(2634232, 2635602)",xse,,TU491
1058,ECOLI:EG11073,xthA,+,Protein,"(1832428, 1833234)",xth,REG0-15990; Transcription-Factor-Binding; REG0-14109; Transcription-Factor-Binding; REG0-14108; Transcription-Factor-Binding; REG0-14107; Transcription-Factor-Binding,TU542
1059,ECOLI:EG11074,xylA,-,Protein,"(3729443, 3730765)",,,TU67
1060,ECOLI:EG11075,xylB,-,Protein,"(3727917, 3729371)",,,TU67
1061,ECOLI:EG11076,xylE,-,Protein,"(4240779, 4242254)",,REG0-16184; Transcription-Factor-Binding,TU0-14113
1062,ECOLI:EG11078,nhaR,+,Protein,"(18715, 19620)",antO; yaaB,REG0-11282; Protein-Mediated-Translation-Regulation; REG0-11283; Protein-Mediated-Translation-Regulation,TU00200; TU0-3862; TU0-14299
1063,ECOLI:EG11079,ribF,+,Protein,"(21407, 22348)",yaaC,,TU00291
1064,ECOLI:EG11080,fkpB,+,Protein,"(25826, 26275)",slpA; yaaD,,TU0-14465; TU0-14395; TU0-14394; TU0-14253; TU00291
1065,ECOLI:EG11081,ispH,+,Protein,"(26277, 27227)",yaaE; lytB,,TU0-14465; TU0-14395; TU0-14394; TU0-14253; TU00291
1066,ECOLI:EG11082,rihC,+,Protein,"(27293, 28207)",yaaF,,TU0-12797
1067,ECOLI:EG11083,rapA,-,Protein,"(60358, 63264)",yabA; hepA,,TU0-45240; TU0-14488; TU0-3841
1068,ECOLI:EG11084,mraZ,+,Protein,"(89634, 90092)",yabB,,TU0-941
1069,ECOLI:EG11085,rsmH,+,Protein,"(90094, 91035)",yabC; mraW,,TU0-14439; TU0-941
1070,ECOLI:EG11086,ftsL,+,Protein,"(91032, 91397)",mraR; yabD,,TU0-14445; TU0-14443; TU0-14439; TU0-941
1071,ECOLI:EG11087,secM,+,Protein,"(107705, 108217)",srrA; yacA,,TU0-4343
1072,ECOLI:EG11088,pdhR,+,Protein,"(122092, 122856)",aceC; genA; yacB,REG0-14268; Transcription-Factor-Binding; REG0-14229; Transcription-Factor-Binding,TU0-45222; TU00522
1073,ECOLI:EG11089,yacC,-,Protein,"(136570, 136917)",,,TU00359
1074,ECOLI:EG11090,mtn,-,Protein,"(178455, 179153)",pfs; yadA; mtnN,REG0-16219; Transcription-Factor-Binding; REG0-16218; Transcription-Factor-Binding,TU0-45264; TU0-12822
1075,ECOLI:EG11091,frsA,+,Protein,"(256527, 257771)",yafA,,TU0-12857
1076,ECOLI:EG11092,crl,+,RNA polymerase holoenzyme assembly factor Crl,"(257829, 257899)",,,
